,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M
0,,"
North America
","6,571,599","+10,820","247,576",+269,"3,587,945","+6,176","2,736,078","24,086",,
1,,"
South America
","5,284,188","+1,198","176,120",+55,"3,819,527",+853,"1,288,541","14,853",,
2,,"
Asia
","5,696,577","+36,898","120,731",+585,"4,421,779","+34,080","1,154,067","18,813",,
3,,"
Europe
","3,177,555","+11,541","203,293",+173,"1,915,237","+4,683","1,059,025","5,217",,
4,,"
Africa
","1,123,768",+626,"25,706",+28,"839,426",+974,"258,636","1,210",,
5,,"
Oceania
","25,740",+290,447,+25,"16,286",+459,"9,007",57,,
6,,"

",721,,15,,651,,55,4,,
7,,World,"21,880,148","+61,373","773,888","+1,135","14,600,851","+47,225","6,505,409","64,240","2,807",99.3
8,1,USA,"5,571,976","+5,344","173,159 ",+31,"2,924,151","+1,427","2,474,666","17,237","16,821",523
9,2,Brazil,"3,340,197",,"107,879 ",,"2,432,456",,"799,862","8,318","15,700",507
10,3,India,"2,667,973","+20,657","51,280 ",+235,"1,939,454","+21,378","677,239","8,944","1,931",37
11,4,Russia,"927,745","+4,892","15,740 ",+55,"736,101","+3,133","175,904","2,300","6,357",108
12,5,South Africa,"587,345",,"11,839 ",,"472,377",,"103,129",539,"9,888",199
13,6,Peru,"535,946",,"26,281 ",,"365,367",,"144,298","1,533","16,227",796
14,7,Mexico,"522,162","+4,448","56,757 ",+214,"355,101","+3,729","110,304","3,489","4,045",440
15,8,Colombia,"468,332",,"15,097 ",,"287,436",,"165,799","1,493","9,192",296
16,9,Chile,"385,946",,"10,452 ",,"358,828",,"16,666","1,190","20,168",546
17,10,Spain,"358,843",,"28,617 ",,N/A,N/A,N/A,617,"7,675",612
18,11,Iran,"345,450","+2,247","19,804 ",+165,"299,157","+1,671","26,489","3,773","4,106",235
19,12,UK,"319,197",+713,"41,369 ",+3,N/A,N/A,N/A,73,"4,699",609
20,13,Saudi Arabia,"299,914","+1,372","3,436 ",+28,"268,385","+1,432","28,093","1,758","8,598",99
21,14,Argentina,"294,569",,"5,703 ",,"211,702",,"77,164","1,708","6,510",126
22,15,Pakistan,"289,215",+498,"6,175 ",+7,"269,087","+2,786","13,953",771,"1,306",28
23,16,Bangladesh,"279,144","+2,595","3,694 ",+37,"160,591","+1,641","114,859",,"1,693",22
24,17,Italy,"253,915",,"35,396 ",,"203,786",,"14,733",56,"4,200",586
25,18,Turkey,"249,309",,"5,974 ",,"230,969",,"12,366",679,"2,952",71
26,19,Germany,"225,696",+699,"9,292 ",+2,"202,900",,"13,504",224,"2,693",111
27,20,France,"218,536",,"30,410 ",,"83,848",,"104,278",367,"3,347",466
28,21,Iraq,"176,931",,"5,860 ",,"125,374",,"45,697",572,"4,387",145
29,22,Philippines,"164,474","+3,314","2,681 ",+18,"112,759",+237,"49,034",461,"1,498",24
30,23,Indonesia,"141,370","+1,821","6,207 ",+57,"94,458","+1,355","40,705",,516,23
31,24,Canada,"122,186",+99,"9,026 ",,"108,567",+83,"4,593","2,296","3,234",239
32,25,Qatar,"115,368",+288,193 ,,"112,088",+294,"3,087",69,"41,088",69
33,26,Kazakhstan,"103,033",+337,"1,269 ",,"82,777","+1,219","18,987",221,"5,479",67
34,27,Ecuador,"101,542",,"6,070 ",,"87,022",,"8,450",376,"5,745",343
35,28,Bolivia,"100,344","+1,198","4,058 ",+55,"36,491",+853,"59,795",71,"8,582",347
36,29,Egypt,"96,475",,"5,160 ",,"59,743",,"31,572",41,941,50
37,30,Israel,"93,691","+1,011",690 ,+5,"69,062",+552,"23,939",398,"10,186",75
38,31,Ukraine,"92,820","+1,464","2,089 ",+19,"48,164",+342,"42,567",138,"2,124",48
39,32,Dominican Republic,"86,309",,"1,453 ",,"52,905",,"31,951",303,"7,946",134
40,33,Sweden,"85,045",,"5,787 ",+8,N/A,N/A,N/A,30,"8,414",573
41,34,Oman,"83,226",+140,588 ,+16,"77,812",+132,"4,826",150,"16,249",115
42,35,Panama,"81,940",,"1,767 ",,"55,001",,"25,172",159,"18,954",409
43,36,Belgium,"78,323",+454,"9,939 ",+4,"17,994",+13,"50,390",86,"6,754",857
44,37,Kuwait,"76,827",+622,502 ,+1,"68,633",+498,"7,692",109,"17,957",117
45,38,Romania,"71,194",+733,"3,029 ",+38,"32,759",+172,"35,406",497,"3,704",158
46,39,Belarus,"69,589",+73,613 ,+3,"67,149",+77,"1,827",,"7,365",65
47,40,UAE,"64,541",+229,364 ,,"57,794",+100,"6,383",,"6,516",37
48,41,Netherlands,"63,484",+482,"6,172 ",,N/A,N/A,N/A,54,"3,704",360
49,42,Guatemala,"62,944",+382,"2,389  ",+10,"51,530",+838,"9,025",5,"3,505",133
50,43,Poland,"57,279",+595,"1,885 ",+8,"39,359",+229,"16,035",83,"1,514",50
51,44,Singapore,"55,838",+91,27 ,,"51,953",,"3,858",,"9,535",5
52,45,Japan,"54,714",,"1,088 ",,"40,080",,"13,546",232,433,9
53,46,Portugal,"54,234",+132,"1,779 ",+1,"39,800",+103,"12,655",39,"5,321",175
54,47,Honduras,"50,502",+523,"1,575 ",+8,"7,339",+84,"41,588",37,"5,089",159
55,48,Nigeria,"49,068",,975 ,,"36,497",,"11,596",7,237,5
56,49,Bahrain,"46,835",,172 ,+2,"43,128",,"3,535",39,"27,416",101
57,50,Ghana,"42,653",+121,239 ,+8,"40,567",+205,"1,847",6,"1,369",8
58,51,Morocco,"42,489",,658 ,,"29,344",,"12,487",31,"1,149",18
59,52,Kyrgyzstan,"41,991",+135,"1,496 ",+1,"34,537",+261,"5,958",24,"6,423",229
